Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales (Raw),Innovation Type
Central,Traditional Trade,BigCo,SOFT DRINKS,Sparkling Water,75004,19062,5.0,84.35,70.14,10.26,22.08,19.27,48.67,22.6,500000.0,2021/11/15,85 kiloliters,New Flavor
north,Modern Trade,SmallBrand,Tea,Green Tea,38434,12608,-2.5,82.44,35.7,35.61,29.98,20.02,47.3,21.4,500000.0,2021/11/15,85 kiloliters,Repackage
south,Modern Trade,BigCo,Water,Herbal Tea,52319,19114,5.0,53.01,26.89,28.99,29.72,19.78,33.32,37.84,100000,2021/11/15,85 kiloliters,Downsize
central,Modern Trade,MegaBeverages,SOFT DRINKS,Diet Soda,53165,13058,5.0,72.76,84.18,8.59,22.59,3.26,49.13,33.16,string_value,2021/11/15,85000 liters,Completely New
NORTH,Modern Trade,BigCo,tea,Flavored Water,120231,12730,10.5,90.99,59.21,13.08,22.45,11.16,45.77,46.98,100000,2022-03,70 kiloliters,Upsize
NORTH,Traditional Trade,BigCo,tea,Green Tea,45237,22620,5.0,31.08,30.77,24.82,8.18,7.87,30.95,32.32,100000,August 2021,70 kiloliters,New Flavor
central,Traditional Trade,SmallBrand,WATER,Flavored Water,38445,16597,10.5,60.5,75.54,20.92,25.17,35.68,48.31,47.73,500000.0,2021-08-01,70000 liters,Downsize
South,Modern Trade,MegaBeverages,Tea,Flavored Water,32462,20012,5.0,45.7,84.05,38.93,12.75,12.45,51.89,35.02,500000.0,2021/11/15,85000 liters,Downsize
South,Modern Trade,MegaBeverages,soft drinks,Flavored Water,35900,18458,-2.5,57.2,31.87,36.72,28.9,7.26,46.18,25.65,string_value,2021/11/15,70 kiloliters,Downsize
NORTH,Modern Trade,BigCo,Water,Sparkling Water,61266,9038,unknown,59.12,77.22,28.73,3.36,6.55,50.46,32.88,300000.50,2021-08-01,70000 liters,Upsize
SOUTH,Traditional Trade,MegaBeverages,SOFT DRINKS,Sparkling Water,43271,18465,unknown,82.27,85.33,41.11,13.64,28.6,28.57,46.45,string_value,2021/11/15,85 kiloliters,New Flavor
South,Traditional Trade,MegaBeverages,SOFT DRINKS,Herbal Tea,43860,11160,unknown,36.57,85.69,28.13,17.12,2.23,59.78,25.74,300000.50,August 2021,85 kiloliters,New Flavor
SOUTH,Modern Trade,MegaBeverages,soft drinks,Green Tea,47936,21400,5.0,65.88,83.99,48.22,12.75,19.91,34.93,32.2,1200000,2020-12,70000 liters,Downsize
North,Modern Trade,MegaBeverages,tea,Diet Soda,44197,20460,15.0,69.49,58.25,10.86,7.11,6.52,47.11,35.04,500000.0,2021-08-01,70 kiloliters,Downsize
central,Traditional Trade,TinyStartups,Tea,Diet Soda,56710,9607,unknown,64.59,44.93,35.71,18.2,34.29,23.22,39.81,1200000,2022-03,85000 liters,Repackage
SOUTH,Modern Trade,MegaBeverages,soft drinks,Diet Soda,115323,15645,0,81.23,20.51,18.5,22.92,38.42,41.18,41.39,1200000,2021-08-01,70000 liters,Upsize
north,Modern Trade,MegaBeverages,SOFT DRINKS,Flavored Water,79085,14418,10.5,56.87,24.26,13.95,19.7,38.43,46.78,28.43,500000.0,August 2021,70 kiloliters,Repackage
NORTH,Traditional Trade,BigCo,WATER,Sparkling Water,78711,12283,15.0,96.15,50.02,9.02,7.8,18.79,31.47,39.84,1200000,2022-03,70000 liters,Upsize
CENTRAL,Modern Trade,FreshDrinks,WATER,Green Tea,78296,15470,5.0,63.73,47.95,27.63,22.22,26.49,60.32,26.66,100000,2020-12,70 kiloliters,New Flavor
south,Traditional Trade,MegaBeverages,Tea,Flavored Water,72853,11464,-2.5,69.98,32.93,10.77,8.45,24.79,39.72,22.7,300000.50,2021/11/15,85 kiloliters,Completely New
south,Modern Trade,MegaBeverages,tea,Sparkling Water,53956,18700,5.0,87.79,47.68,10.02,6.08,15.3,65.53,44.09,string_value,2021-08-01,70000 liters,Downsize
CENTRAL,Modern Trade,BigCo,Water,Sparkling Water,32594,25930,5.0,49.27,32.23,49.53,21.03,18.87,42.55,26.14,500000.0,2022-03,85000 liters,Downsize
central,Traditional Trade,SmallBrand,Soft Drinks,Green Tea,25931,17094,15.0,35.26,79.42,40.09,25.44,4.44,28.07,45.76,100000,2021-08-01,70000 liters,Downsize
North,Traditional Trade,BigCo,tea,Green Tea,48998,18526,15.0,79.54,40.87,37.41,14.96,32.24,42.56,24.06,string_value,2020-12,85 kiloliters,Upsize
North,Modern Trade,FreshDrinks,SOFT DRINKS,Green Tea,39910,13342,5.0,63.81,61.9,39.7,16.41,11.15,60.98,22.71,string_value,2021-08-01,85 kiloliters,New Segment
central,Traditional Trade,MegaBeverages,water,Flavored Water,70905,10108,10.5,92.76,55.2,48.45,9.78,19.5,59.43,21.92,string_value,2022-03,70 kiloliters,Repackage
South,Modern Trade,BigCo,tea,Herbal Tea,94191,15755,10.5,98.79,23.63,28.66,15.34,20.26,26.28,32.59,1200000,August 2021,85 kiloliters,Upsize
North,Modern Trade,FreshDrinks,tea,Green Tea,22081,22143,15.0,57.94,85.96,11.01,4.83,23.31,67.98,23.23,1200000,2022-03,70 kiloliters,Downsize
North,Traditional Trade,MegaBeverages,Water,Herbal Tea,60038,12115,5.0,59.08,56.91,43.11,28.72,33.08,37.22,36.28,1200000,2021-08-01,85 kiloliters,New Segment
SOUTH,Modern Trade,TinyStartups,tea,Flavored Water,74156,27971,5.0,58.56,42.75,37.14,24.21,28.29,39.68,39.89,1200000,2020-12,70 kiloliters,New Flavor
North,Modern Trade,SmallBrand,WATER,Herbal Tea,108621,18397,-2.5,52.72,31.07,20.72,20.37,27.2,37.98,47.81,100000,2021/11/15,85000 liters,Upsize
South,Traditional Trade,TinyStartups,tea,Diet Soda,86414,11161,15.0,84.72,43.7,23.68,16.61,22.02,62.71,36.97,1200000,2021/11/15,70 kiloliters,New Flavor
south,Traditional Trade,BigCo,WATER,Herbal Tea,20330,10849,-2.5,83.13,21.44,20.56,23.97,5.65,34.78,48.45,500000.0,2020-12,70 kiloliters,Downsize
South,Modern Trade,FreshDrinks,TEA,Green Tea,48204,11533,15.0,63.51,45.45,46.5,15.35,17.28,40.42,35.15,string_value,2021-08-01,85000 liters,Repackage
CENTRAL,Traditional Trade,MegaBeverages,SOFT DRINKS,Flavored Water,24070,16730,15.0,33.13,57.2,17.18,9.7,38.38,71.11,48.39,100000,2020-12,70 kiloliters,Downsize
CENTRAL,Traditional Trade,TinyStartups,Soft Drinks,Green Tea,58436,8224,5.0,51.67,81.03,48.17,5.65,39.83,33.72,20.13,1200000,2021-08-01,70 kiloliters,New Flavor
central,Traditional Trade,FreshDrinks,Soft Drinks,Diet Soda,30784,15097,10.5,50.46,68.12,45.51,19.78,29.76,57.84,49.42,string_value,2022-03,85000 liters,Downsize
SOUTH,Traditional Trade,TinyStartups,Tea,Green Tea,59948,16678,15.0,86.78,27.81,31.53,27.95,10.65,53.73,46.95,100000,August 2021,85 kiloliters,Repackage
SOUTH,Modern Trade,MegaBeverages,tea,Green Tea,77230,15153,5.0,36.13,30.34,28.99,5.45,5.87,19.08,49.09,string_value,2021-08-01,70000 liters,Upsize
Central,Modern Trade,MegaBeverages,Soft Drinks,Green Tea,70797,11719,0,86.4,49.97,18.5,6.22,17.76,26.67,33.37,100000,2021/11/15,70 kiloliters,Repackage
North,Modern Trade,BigCo,soft drinks,Sparkling Water,47256,14100,unknown,76.84,33.7,0.92,13.57,34.55,26.08,42.55,300000.50,2021/11/15,85 kiloliters,New Segment
SOUTH,Traditional Trade,FreshDrinks,WATER,Diet Soda,52586,17181,unknown,81.27,21.95,6.38,24.4,29.43,31.61,22.98,100000,August 2021,70000 liters,New Flavor
north,Traditional Trade,MegaBeverages,water,Green Tea,62846,15721,0,60.25,76.35,37.71,9.52,35.59,60.07,24.95,1200000,2021-08-01,85000 liters,New Flavor
north,Traditional Trade,MegaBeverages,WATER,Green Tea,38958,22437,-2.5,77.58,21.37,23.58,8.36,25.4,68.34,39.06,string_value,August 2021,70 kiloliters,Downsize
South,Traditional Trade,FreshDrinks,soft drinks,Green Tea,70538,13045,5.0,72.63,78.15,7.49,18.98,6.95,53.02,40.85,string_value,2022-03,70 kiloliters,New Segment
SOUTH,Traditional Trade,MegaBeverages,Soft Drinks,Flavored Water,53643,14126,15.0,83.83,30.09,13.2,16.53,6.36,28.9,37.31,string_value,August 2021,85000 liters,Repackage
North,Traditional Trade,BigCo,SOFT DRINKS,Sparkling Water,48674,21160,-2.5,61.27,88.23,47.39,2.75,3.82,38.62,40.04,500000.0,2022-03,70 kiloliters,Downsize
north,Traditional Trade,MegaBeverages,water,Flavored Water,122307,13788,5.0,63.1,62.27,18.36,3.36,23.55,51.26,24.83,500000.0,2021/11/15,70000 liters,Upsize
CENTRAL,Modern Trade,MegaBeverages,tea,Sparkling Water,33695,11934,unknown,75.05,71.45,45.38,19.65,11.23,74.15,35.1,1200000,2022-03,70000 liters,New Flavor
Central,Modern Trade,MegaBeverages,Soft Drinks,Green Tea,31953,11325,15.0,37.57,27.73,15.23,14.49,29.91,23.27,44.5,300000.50,2021-08-01,85000 liters,New Segment
South,Traditional Trade,BigCo,Tea,Diet Soda,88147,9634,15.0,60.54,80.35,27.16,29.16,28.08,77.75,42.59,500000.0,2021-08-01,70 kiloliters,New Flavor
central,Traditional Trade,BigCo,Tea,Herbal Tea,35726,20453,10.5,98.04,78.74,1.02,20.68,14.09,39.23,42.3,100000,2021-08-01,85 kiloliters,Downsize
Central,Traditional Trade,BigCo,tea,Herbal Tea,79182,20110,15.0,32.63,65.71,26.09,1.29,8.72,52.01,21.35,1200000,2021-08-01,70 kiloliters,New Flavor
central,Modern Trade,FreshDrinks,Water,Green Tea,78867,16378,15.0,52.12,55.16,31.85,14.95,5.89,74.32,33.36,300000.50,2020-12,85000 liters,New Flavor
central,Modern Trade,BigCo,tea,Flavored Water,48186,19725,5.0,51.99,70.5,11.72,13.02,30.02,50.13,28.93,100000,2022-03,85 kiloliters,New Flavor
NORTH,Traditional Trade,MegaBeverages,Soft Drinks,Diet Soda,70322,9709,-2.5,74.34,20.41,28.95,4.09,19.12,58.57,29.15,string_value,2021-08-01,70000 liters,New Flavor
SOUTH,Traditional Trade,SmallBrand,water,Sparkling Water,53032,27293,5.0,37.41,61.47,32.36,27.77,14.29,49.08,38.01,500000.0,August 2021,70000 liters,Downsize
Central,Modern Trade,BigCo,SOFT DRINKS,Green Tea,52585,17405,10.5,74.0,79.32,34.34,24.35,34.55,32.55,25.68,100000,August 2021,85 kiloliters,New Flavor
north,Modern Trade,MegaBeverages,Soft Drinks,Diet Soda,82805,22448,-2.5,36.65,44.98,38.82,7.67,24.56,70.61,28.91,300000.50,2020-12,85 kiloliters,Completely New
north,Modern Trade,FreshDrinks,WATER,Diet Soda,42111,17835,15.0,36.65,27.58,15.57,8.42,21.68,70.01,27.98,1200000,2022-03,85000 liters,Downsize
NORTH,Modern Trade,SmallBrand,soft drinks,Sparkling Water,128302,10913,-2.5,80.97,49.46,28.39,1.93,30.25,40.09,21.56,100000,2022-03,70 kiloliters,Upsize
CENTRAL,Traditional Trade,FreshDrinks,SOFT DRINKS,Diet Soda,66090,15020,5.0,52.69,70.9,49.08,9.6,32.99,34.39,36.61,1200000,2022-03,70000 liters,Upsize
central,Modern Trade,FreshDrinks,Water,Flavored Water,29864,12992,10.5,98.42,27.51,44.91,17.95,28.07,38.6,23.89,string_value,2020-12,70 kiloliters,Downsize
SOUTH,Modern Trade,TinyStartups,Soft Drinks,Flavored Water,74088,14766,unknown,32.61,34.42,47.63,13.2,18.72,29.58,43.76,300000.50,2022-03,70000 liters,New Flavor
Central,Traditional Trade,MegaBeverages,tea,Flavored Water,58020,14037,5.0,61.16,30.33,19.31,29.11,16.41,63.97,42.2,300000.50,2022-03,70 kiloliters,Completely New
central,Modern Trade,TinyStartups,Soft Drinks,Diet Soda,43442,16031,unknown,37.92,75.79,39.35,2.63,31.32,58.31,36.3,500000.0,2021-08-01,70000 liters,Downsize
NORTH,Modern Trade,BigCo,TEA,Flavored Water,73114,15133,-2.5,54.6,24.4,30.99,18.15,21.68,72.55,31.54,300000.50,2022-03,70 kiloliters,New Flavor
South,Modern Trade,SmallBrand,Soft Drinks,Sparkling Water,22251,22787,5.0,99.88,68.06,4.14,25.89,28.77,51.54,25.7,100000,2021-08-01,85000 liters,Downsize
central,Traditional Trade,MegaBeverages,WATER,Diet Soda,97906,14662,15.0,92.22,45.65,41.2,14.94,35.84,36.87,36.85,100000,2021-08-01,70000 liters,Upsize
Central,Modern Trade,MegaBeverages,Water,Herbal Tea,77369,16835,5.0,33.38,72.91,33.86,1.09,36.8,55.32,31.21,100000,2022-03,85000 liters,New Flavor
North,Traditional Trade,BigCo,soft drinks,Diet Soda,73852,19156,-2.5,69.43,87.51,9.95,8.04,12.55,72.97,21.7,string_value,August 2021,70000 liters,Completely New
north,Traditional Trade,FreshDrinks,Water,Sparkling Water,30125,14654,5.0,75.35,28.02,3.99,10.39,9.14,65.63,48.6,300000.50,2021/11/15,70000 liters,New Flavor
Central,Modern Trade,BigCo,soft drinks,Herbal Tea,22554,16612,unknown,44.67,42.01,41.85,29.01,11.93,26.6,36.53,300000.50,August 2021,70000 liters,Downsize
SOUTH,Modern Trade,TinyStartups,Water,Diet Soda,61801,9842,unknown,40.16,76.71,3.95,27.44,30.55,40.89,23.3,100000,2022-03,70 kiloliters,Completely New
SOUTH,Modern Trade,TinyStartups,tea,Flavored Water,66881,17939,10.5,93.31,38.63,4.57,28.53,16.06,47.1,21.2,500000.0,2022-03,70000 liters,New Flavor
NORTH,Modern Trade,BigCo,SOFT DRINKS,Green Tea,54732,11641,15.0,97.82,35.06,21.37,24.95,8.59,52.16,34.84,500000.0,August 2021,85000 liters,New Flavor
North,Traditional Trade,TinyStartups,TEA,Green Tea,49297,12956,10.5,99.43,77.78,6.74,11.2,5.74,57.1,42.63,300000.50,2022-03,70 kiloliters,New Flavor
CENTRAL,Modern Trade,FreshDrinks,TEA,Flavored Water,40736,12796,-2.5,85.28,89.1,45.68,27.27,14.44,55.31,41.79,300000.50,2021-08-01,70 kiloliters,New Flavor
North,Modern Trade,FreshDrinks,SOFT DRINKS,Green Tea,43158,10887,0,76.45,58.98,23.51,29.47,7.17,71.27,31.49,1200000,2020-12,70000 liters,New Flavor
CENTRAL,Modern Trade,MegaBeverages,tea,Green Tea,41108,25004,15.0,54.2,39.46,28.46,11.15,7.94,59.79,49.88,300000.50,2022-03,85 kiloliters,Repackage
south,Traditional Trade,BigCo,soft drinks,Flavored Water,56859,18405,10.5,42.0,47.9,46.41,8.56,27.99,40.51,41.77,100000,2022-03,70 kiloliters,Repackage
South,Modern Trade,BigCo,TEA,Flavored Water,45680,19982,0,35.53,31.91,26.51,16.86,2.75,39.92,26.63,string_value,August 2021,70000 liters,New Segment
Central,Modern Trade,MegaBeverages,SOFT DRINKS,Diet Soda,61526,14336,unknown,78.53,73.33,17.68,6.43,6.47,43.78,32.95,300000.50,2021-08-01,85000 liters,Upsize
NORTH,Traditional Trade,SmallBrand,SOFT DRINKS,Diet Soda,76478,14569,5.0,84.93,74.14,39.86,1.95,34.09,56.6,46.46,300000.50,August 2021,85 kiloliters,Repackage
south,Traditional Trade,BigCo,Water,Flavored Water,53590,18153,15.0,87.85,81.26,22.14,28.43,34.11,34.12,22.98,100000,August 2021,70 kiloliters,Downsize
NORTH,Modern Trade,TinyStartups,SOFT DRINKS,Sparkling Water,93630,12640,-2.5,93.96,21.86,15.92,27.85,14.51,53.69,21.32,1200000,2022-03,85 kiloliters,Upsize
SOUTH,Modern Trade,MegaBeverages,soft drinks,Green Tea,121302,18122,5.0,91.6,59.34,36.16,5.72,5.34,48.06,32.57,300000.50,2021-08-01,70 kiloliters,Upsize
central,Modern Trade,MegaBeverages,tea,Diet Soda,40437,15453,10.5,99.98,35.0,40.08,12.82,28.79,28.35,32.24,500000.0,2022-03,85 kiloliters,New Flavor
central,Modern Trade,FreshDrinks,soft drinks,Green Tea,25582,18179,5.0,47.08,43.86,39.59,25.1,15.69,63.18,20.03,500000.0,2022-03,85 kiloliters,Completely New
CENTRAL,Modern Trade,TinyStartups,Water,Herbal Tea,31698,12791,5.0,83.43,74.95,48.88,20.17,3.73,65.95,41.96,500000.0,2022-03,85000 liters,Downsize
south,Traditional Trade,MegaBeverages,Tea,Flavored Water,35747,17652,5.0,71.05,33.44,39.33,12.45,8.0,65.12,27.81,string_value,2022-03,85 kiloliters,New Segment
NORTH,Traditional Trade,MegaBeverages,Tea,Sparkling Water,28472,28786,0,48.29,64.68,38.5,22.58,7.21,28.0,39.03,string_value,2020-12,85000 liters,Downsize
North,Modern Trade,MegaBeverages,Water,Herbal Tea,34287,19479,0,98.73,65.82,42.87,27.01,24.39,36.57,40.79,300000.50,2021/11/15,70000 liters,Downsize
NORTH,Modern Trade,BigCo,tea,Herbal Tea,57005,18519,15.0,92.85,86.79,0.01,27.86,36.13,54.67,29.39,300000.50,2021-08-01,70 kiloliters,New Flavor
South,Traditional Trade,BigCo,Tea,Herbal Tea,26689,14825,5.0,39.0,74.26,18.12,11.99,32.14,68.88,24.89,300000.50,2020-12,85000 liters,Downsize
SOUTH,Modern Trade,MegaBeverages,Tea,Flavored Water,86628,22759,-2.5,31.83,76.25,36.88,6.03,22.77,59.1,43.5,string_value,2021/11/15,70 kiloliters,Repackage
south,Modern Trade,MegaBeverages,Tea,Diet Soda,87690,13206,0,78.18,57.21,29.99,27.47,18.04,76.59,20.17,300000.50,2021/11/15,85000 liters,New Flavor
South,Modern Trade,FreshDrinks,WATER,Flavored Water,40929,15864,15.0,72.29,33.07,8.88,3.68,25.51,29.74,24.31,100000,2021/11/15,70 kiloliters,Completely New
south,Modern Trade,MegaBeverages,water,Diet Soda,78918,16635,5.0,95.51,49.79,15.19,21.93,18.86,37.66,22.27,1200000,2020-12,85000 liters,Upsize
North,Modern Trade,MegaBeverages,Tea,Herbal Tea,48764,14501,10.5,46.38,58.46,16.84,5.07,11.35,61.19,42.09,500000.0,2021-08-01,70 kiloliters,New Flavor
South,Traditional Trade,MegaBeverages,TEA,Herbal Tea,40539,18239,unknown,35.91,67.49,28.39,12.29,27.81,57.04,49.13,500000.0,August 2021,70000 liters,Downsize
SOUTH,Modern Trade,FreshDrinks,water,Sparkling Water,52404,11678,-2.5,48.15,62.54,41.58,12.94,35.18,37.27,38.02,100000,2021/11/15,70 kiloliters,Repackage
NORTH,Modern Trade,TinyStartups,Water,Diet Soda,130491,11669,-2.5,31.32,47.58,46.62,5.6,16.17,41.2,44.04,300000.50,August 2021,70000 liters,Upsize
SOUTH,Modern Trade,MegaBeverages,water,Herbal Tea,23777,18913,15.0,32.51,38.57,37.5,27.76,33.98,31.82,36.03,string_value,August 2021,70000 liters,Downsize
NORTH,Traditional Trade,FreshDrinks,tea,Green Tea,51567,14647,10.5,94.04,31.78,42.15,1.08,18.38,42.39,49.92,300000.50,2022-03,70000 liters,Upsize
north,Traditional Trade,BigCo,TEA,Sparkling Water,41555,22394,10.5,54.64,68.57,23.5,26.92,17.25,35.03,28.72,300000.50,August 2021,85 kiloliters,Downsize
CENTRAL,Traditional Trade,MegaBeverages,Soft Drinks,Flavored Water,62456,12339,5.0,58.76,65.18,19.49,26.63,3.08,72.64,29.69,500000.0,2022-03,70 kiloliters,New Flavor
CENTRAL,Traditional Trade,MegaBeverages,water,Sparkling Water,49862,14351,5.0,31.29,68.12,19.64,10.19,28.42,56.25,46.31,500000.0,2021-08-01,85 kiloliters,New Flavor
Central,Modern Trade,MegaBeverages,TEA,Green Tea,38323,13633,10.5,48.94,46.08,30.8,21.42,32.69,43.66,31.4,string_value,2021-08-01,85 kiloliters,New Flavor
central,Traditional Trade,FreshDrinks,water,Diet Soda,55247,14624,-2.5,86.33,38.37,6.21,8.33,27.22,64.61,29.93,500000.0,2022-03,70 kiloliters,New Flavor
south,Modern Trade,TinyStartups,tea,Flavored Water,73263,14845,5.0,73.08,73.18,28.97,23.0,7.75,38.82,35.34,300000.50,2021-08-01,70000 liters,New Flavor
Central,Modern Trade,BigCo,WATER,Flavored Water,43297,21660,-2.5,82.76,74.16,33.26,17.27,5.93,37.76,42.02,100000,2021/11/15,85 kiloliters,Downsize
North,Traditional Trade,FreshDrinks,tea,Diet Soda,130234,17583,5.0,61.3,51.89,21.95,9.71,23.77,38.21,44.96,string_value,2021-08-01,85 kiloliters,Upsize
SOUTH,Traditional Trade,MegaBeverages,SOFT DRINKS,Sparkling Water,88221,19328,5.0,51.68,62.83,47.66,12.61,17.26,71.9,33.35,100000,2022-03,85000 liters,New Flavor
central,Traditional Trade,BigCo,Soft Drinks,Herbal Tea,30372,15536,5.0,63.8,46.15,30.41,21.01,18.31,42.65,29.6,300000.50,2021/11/15,70 kiloliters,New Flavor
NORTH,Traditional Trade,BigCo,water,Sparkling Water,80083,15701,15.0,52.61,69.14,11.0,27.28,38.78,32.58,38.31,string_value,August 2021,85 kiloliters,New Flavor
South,Traditional Trade,MegaBeverages,Tea,Green Tea,117514,13568,unknown,88.73,78.5,23.96,4.79,29.51,38.62,20.85,100000,August 2021,70 kiloliters,Upsize
SOUTH,Modern Trade,BigCo,Tea,Herbal Tea,80699,12292,15.0,50.84,68.18,33.77,17.57,17.65,45.34,41.72,string_value,August 2021,70 kiloliters,New Flavor
central,Traditional Trade,BigCo,water,Sparkling Water,65054,16888,5.0,76.18,55.88,16.18,8.36,2.73,38.54,41.39,300000.50,2022-03,85 kiloliters,Upsize
SOUTH,Traditional Trade,BigCo,TEA,Diet Soda,60432,8265,15.0,39.59,52.11,3.98,24.24,3.3,49.54,35.77,string_value,August 2021,70 kiloliters,Upsize
north,Traditional Trade,MegaBeverages,water,Green Tea,39293,19047,15.0,78.08,64.96,29.17,3.04,28.02,40.42,37.05,300000.50,2021-08-01,70000 liters,Downsize
SOUTH,Modern Trade,FreshDrinks,tea,Green Tea,62743,5803,5.0,93.93,67.59,47.39,20.98,33.83,45.53,29.41,string_value,August 2021,85 kiloliters,New Segment
NORTH,Traditional Trade,MegaBeverages,WATER,Green Tea,31642,15679,-2.5,72.6,59.11,24.25,6.07,28.89,73.39,48.12,string_value,2020-12,85 kiloliters,New Flavor
south,Modern Trade,SmallBrand,TEA,Herbal Tea,58820,17075,10.5,69.19,63.75,45.31,18.3,17.42,54.01,46.29,500000.0,2020-12,85 kiloliters,New Flavor
central,Traditional Trade,MegaBeverages,water,Flavored Water,47460,15886,15.0,97.28,26.76,41.75,25.24,3.18,66.18,45.67,300000.50,August 2021,85000 liters,New Flavor
north,Traditional Trade,FreshDrinks,TEA,Herbal Tea,32962,14909,5.0,73.92,86.62,7.37,22.9,38.76,45.19,40.09,1200000,August 2021,85000 liters,New Flavor
SOUTH,Modern Trade,TinyStartups,Soft Drinks,Sparkling Water,54919,14215,5.0,48.17,75.35,35.41,22.84,39.48,77.75,48.48,string_value,2020-12,85000 liters,New Flavor
SOUTH,Traditional Trade,FreshDrinks,TEA,Flavored Water,44222,8028,-2.5,50.47,46.17,21.77,16.02,22.88,56.09,29.97,100000,August 2021,85000 liters,New Segment
SOUTH,Modern Trade,MegaBeverages,Water,Sparkling Water,32822,6298,15.0,79.37,59.4,12.51,26.83,4.69,34.87,26.59,500000.0,2021/11/15,85 kiloliters,New Flavor
North,Modern Trade,FreshDrinks,Soft Drinks,Flavored Water,35316,25592,10.5,81.48,23.31,34.35,18.06,22.56,28.07,30.8,500000.0,2020-12,70000 liters,Completely New
NORTH,Modern Trade,BigCo,Tea,Herbal Tea,74967,16816,-2.5,51.24,22.89,37.13,27.61,35.91,72.46,34.79,string_value,2022-03,70 kiloliters,New Flavor
north,Traditional Trade,MegaBeverages,SOFT DRINKS,Green Tea,66400,17312,5.0,54.17,37.56,8.99,16.85,27.84,23.8,27.47,1200000,2020-12,70 kiloliters,New Segment
central,Traditional Trade,MegaBeverages,TEA,Diet Soda,70590,19112,5.0,99.37,68.28,45.72,15.67,29.36,32.64,20.13,500000.0,2021-08-01,85 kiloliters,New Segment
central,Traditional Trade,MegaBeverages,soft drinks,Green Tea,46614,9700,-2.5,37.14,79.65,37.56,7.45,5.23,42.55,38.52,300000.50,2021/11/15,70000 liters,Upsize
NORTH,Modern Trade,BigCo,WATER,Herbal Tea,133654,16957,5.0,58.33,59.14,46.67,16.8,6.05,48.69,28.46,string_value,2022-03,70 kiloliters,Upsize
south,Traditional Trade,SmallBrand,TEA,Flavored Water,52704,17791,5.0,34.37,57.25,15.85,5.08,6.84,40.71,38.66,string_value,August 2021,70000 liters,Downsize
central,Modern Trade,FreshDrinks,Tea,Green Tea,43952,18212,15.0,87.48,48.16,46.97,26.22,36.37,59.02,24.16,1200000,2021-08-01,85 kiloliters,Repackage
North,Traditional Trade,MegaBeverages,WATER,Herbal Tea,73180,18766,10.5,36.46,31.31,18.43,20.6,21.98,46.84,41.86,300000.50,2021-08-01,85000 liters,Upsize
South,Modern Trade,SmallBrand,SOFT DRINKS,Sparkling Water,38752,6282,-2.5,77.18,28.28,2.7,29.82,32.08,41.21,46.0,300000.50,2021/11/15,70000 liters,New Flavor
central,Modern Trade,MegaBeverages,Water,Diet Soda,112269,17475,10.5,33.95,73.25,38.15,3.67,6.38,53.93,24.16,1200000,2022-03,70 kiloliters,Upsize
South,Modern Trade,SmallBrand,WATER,Green Tea,76431,19563,unknown,77.1,84.93,35.18,7.98,37.25,40.54,49.16,100000,2021-08-01,70 kiloliters,New Flavor
South,Traditional Trade,MegaBeverages,Soft Drinks,Flavored Water,51486,16514,10.5,89.01,52.08,29.9,26.44,33.2,70.28,31.06,300000.50,2022-03,70 kiloliters,Completely New
south,Modern Trade,BigCo,WATER,Sparkling Water,24817,14899,-2.5,57.92,66.16,24.49,12.46,10.54,35.63,46.72,100000,2022-03,85000 liters,Downsize
SOUTH,Modern Trade,FreshDrinks,TEA,Herbal Tea,62205,16403,-2.5,66.55,84.01,1.61,14.52,35.22,77.96,39.58,100000,2021-08-01,70000 liters,New Flavor
CENTRAL,Modern Trade,FreshDrinks,tea,Diet Soda,52074,10696,unknown,58.11,26.31,31.23,25.96,12.01,58.84,31.56,string_value,2022-03,70000 liters,New Flavor
central,Modern Trade,FreshDrinks,TEA,Flavored Water,72105,14678,unknown,51.03,73.93,20.84,16.13,9.8,44.38,41.31,string_value,2021/11/15,70 kiloliters,New Flavor
CENTRAL,Modern Trade,SmallBrand,Water,Herbal Tea,45337,20294,0,86.23,63.18,28.01,6.61,12.04,48.77,36.46,500000.0,2021-08-01,70000 liters,Repackage
North,Modern Trade,FreshDrinks,TEA,Herbal Tea,95477,8628,unknown,49.04,61.9,21.47,26.87,36.58,33.51,14.39,string_value,2021/11/15,70 kiloliters,Completely New
central,Traditional Trade,FreshDrinks,tea,Green Tea,33331,13288,15.0,80.61,40.48,48.3,1.9,36.79,60.61,46.85,300000.50,2021/11/15,70000 liters,New Flavor
SOUTH,Traditional Trade,TinyStartups,TEA,Green Tea,80648,15140,10.5,44.43,67.87,30.21,26.97,14.5,25.26,21.62,300000.50,2022-03,85000 liters,Upsize
CENTRAL,Modern Trade,FreshDrinks,TEA,Flavored Water,50910,10898,-2.5,47.49,75.64,37.46,2.47,28.81,56.05,27.17,100000,2022-03,85000 liters,Completely New
South,Traditional Trade,MegaBeverages,Tea,Herbal Tea,43811,18375,5.0,53.55,27.9,46.82,20.31,27.68,28.61,35.37,300000.50,2021-08-01,85 kiloliters,New Flavor
