Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales
SOUTH URBAN,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2021-01-01 00:00:00,150000 liters
CENTRAL URBAN,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2025-01-01 00:00:00,80000 liters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2024-03-01 00:00:00,50000 liters
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,unknown,65,70,65.01157277996852,15,25,40,30,20664.58,2023-07-01 00:00:00,50.0 kiloliters
central urban,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2021-08-01 00:00:00,80.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,NAN,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,December 2021,150000 liters
,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,8,95,98,85.7736179536502,35,45,60,50,58368.75,2024-09-01 00:00:00,150000 liters
NORTH RURAL,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,36729.17,,100000 liters
CENTRAL RURAL,Traditional Trade,Cora Cale,Energy Drinks,Energy Boost,50000,9715,unknown,65,70,7.0,15,25,40,30,nan,2024-02-01 00:00:00,50.0 kiloliters
south urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,July 2023,150000 liters
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2020-11-01 00:00:00,150000 liters
CENTRAL URBAN,Modern Trade,URZ,Water,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,33073.33,September 2024,80000 liters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,February 2024,70000 liters
central rural,Traditional Trade,Vinalac,,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,January 2025,50000 liters
north rural,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,2024-08-01 00:00:00,100.0 kiloliters
north urban,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,2020-10-01 00:00:00,120000 liters
central rural,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,,6,65,70,7.0,15,25,40,30,18647.92,2024-12-01 00:00:00,50000 liters
NORTH URBAN,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,February 2021,120.0 kiloliters
NORTH URBAN,Modern Trade,Small Co H,HERBAL TEA,Aqua Zest,29753,9297,-6,42,18,16.0,1,1,13,7,1380.12,August 2020,29.753 kiloliters
north rural,Traditional Trade,URZ,Juices,URZ Fresh,,8713,unknown,80,85,5.0,25,35,50,40,36304.17,June 2022, liters
south rural,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2021-01-01 00:00:00,70.0 kiloliters
north rural,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,8570,7,80,85,5.0,25,35,50,40,35708.33,2023-03-01 00:00:00,100.0 kiloliters
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,unknown,80,85,66.0887934369984,25,35,50,40,36304.17,2024-09-01 00:00:00,100000 liters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,62.44750591508951,20,30,45,35,28126.67,January 2020,80.0 kiloliters
SOUTH RURAL,Traditional Trade,URZ,N/A,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,2021-06-01 00:00:00,70.0 kiloliters
CENTRAL URBAN,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,26826.67,2023-01-01 00:00:00,80.0 kiloliters
CENTRAL URBAN,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,N/A,2022-03-01 00:00:00,80.0 kiloliters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,,2022-04-01 00:00:00,80.0 kiloliters
south rural,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,9655,unknown,70,75,6.0,20,30,50,40,28160.42,2022-11-01 00:00:00,70.0 kiloliters
CENTRAL URBAN,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,80000,N/A,N/A,75,80,6.0,20,30,45,35,N/A,September 2020,80.0 kiloliters
NORTH RURAL,Traditional Trade,Sentry Pepso,Water,Aquavena,N/A,8570,nan,80,85,5.0,25,35,50,40,35708.33,2024-03-01 00:00:00,N/A liters
central rural,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,unknown,65,70,7.0,15,25,40,30,18647.92,2021-02-01 00:00:00,50.0 kiloliters
north rural,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,N/A,unknown,80,85,5.0,25,35,50,40,39733.33,2021-07-01 00:00:00,100.0 kiloliters
N/A,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2021-07-01 00:00:00,150000 liters
north rural,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,2021-08-01 00:00:00,100.0 kiloliters
,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2024-08-01 00:00:00,100.0 kiloliters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,unknown,95,98,3.0,35,45,60,50,60806.25,2020-12-01 00:00:00,150.0 kiloliters
central urban,Modern Trade,Small Co E,Carbonated Soft Drinks,Soda Spark,19012,9069,-1,33,16,19.0,4,4,10,7,787.75,2022-03-01 00:00:00,19012 liters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,2021-11-01 00:00:00,50000 liters
south rural,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,August 2022,70000 liters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,nan,75,80,6.0,20,30,45,35,26826.67,nan,80000 liters
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,nan,95,98,3.0,35,45,60,50,58368.75,December 2020,150.0 kiloliters
central rural,Traditional Trade,Sentry Pepso,,Boostade,50000,9919,NULL,65,70,7.0,15,25,40,30,20664.58,2020-10-01 00:00:00,50000 liters
NORTH URBAN,Modern Trade,URZ,N/A,CeeTwo,120000,9010,unknown,90,95,4.0,30,40,55,45,,December 2021,120.0 kiloliters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2022-03-01 00:00:00,80.0 kiloliters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,44190.0,September 2020,120.0 kiloliters
north rural,Traditional Trade,URZ,JUICES,URZ Fresh,100000,nan,7,80,85,5.0,25,35,50,40,36304.17,nan,100000 liters
NORTH RURAL,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,unknown,80,85,63.24197951179749,25,35,50,40,36729.17,2021-06-01 00:00:00,100.0 kiloliters
SOUTH RURAL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2023-10-01 00:00:00,70000 liters
central rural,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,unknown,65,70,7.0,15,25,40,30,18647.92,2021-05-01 00:00:00,50.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,unknown,95,98,3.0,35,45,60,50,nan,2022-06-01 00:00:00,150000 liters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,,unknown,75,80,6.0,20,30,45,35,26826.67,November 2022,80.0 kiloliters
CENTRAL RURAL,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2024-10-01 00:00:00,50000 liters
north urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2022-11-01 00:00:00,120000 liters
NORTH URBAN,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,,120000 liters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,July 2021,100000 liters
SOUTH URBAN,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,,9729,unknown,95,98,3.0,35,45,60,50,60806.25,2020-01-01 00:00:00,
NORTH RURAL,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,,2023-07-01 00:00:00,100000 liters
CENTRAL URBAN,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,2023-05-01 00:00:00,80000 liters
n/a,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,NULL,90,95,4.0,30,40,55,45,44190.0,nan,120.0 kiloliters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,April 2021,150000 liters
CENTRAL RURAL,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,September 2022,50000 liters
north rural,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,unknown,80,85,5.0,25,35,50,40,36729.17,2024-09-01 00:00:00,100000 liters
null,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2023-08-01 00:00:00,80000 liters
CENTRAL URBAN,Modern Trade,URZ,NAN,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2023-04-01 00:00:00,80000 liters
n/a,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,,100.0 kiloliters
NORTH URBAN,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,2023-07-01 00:00:00,120000 liters
NORTH RURAL,Traditional Trade,Cora Cale,Water,Flavored Aqua,nan,8815,7,80,85,5.0,25,35,50,40,36729.17,2023-03-01 00:00:00,nan
north rural,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,NULL,7,80,85,5.0,25,35,50,40,nan,March 2021,100.0 kiloliters
N/A,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,N/A,65,70,7.0,15,25,40,30,18850.0,2021-08-01 00:00:00,50.0 kiloliters
null,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,N/A,90,95,4.0,30,40,55,45,44190.0,2020-01-01 00:00:00,120000 liters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,26826.67,2023-03-01 00:00:00,80.0 kiloliters
north rural,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,,7,80,85,5.0,25,35,50,40,35708.33,2023-04-01 00:00:00,100000 liters
south urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2024-12-01 00:00:00,150.0 kiloliters
central rural,Traditional Trade,Tran Hip Pat,NULL,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,,50000 liters
north rural,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,unknown,80,85,5.0,25,35,50,40,36729.17,June 2023,100.0 kiloliters
N/A,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,N/A,7,80,85,5.0,25,35,50,40,36729.17,September 2023,100.0 kiloliters
CENTRAL RURAL,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,unknown,65,70,7.0,15,25,40,30,19504.17,N/A,50000 liters
central rural,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,NULL,unknown,65,70,7.0,15,25,40,30,18647.92,NULL,50000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2020-01-01 00:00:00,120.0 kiloliters
north urban,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2023-11-01 00:00:00,120000 liters
south rural,Traditional Trade,URZ,Water,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,October 2020,70000 liters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,33073.33,January 2023,80000 liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,nan,N/A,75,80,6.0,20,30,45,35,26996.67,2020-10-01 00:00:00,80.0 kiloliters
NORTH RURAL,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,nan,100.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,unknown,95,98,3.0,35,45,60,50,53150.0,2023-03-01 00:00:00,150000 liters
SOUTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,58368.75,2023-05-01 00:00:00,150000 liters
central urban,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,2022-10-01 00:00:00,80.0 kiloliters
north urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,unknown,90,95,4.0,30,40,55,45,43010.0,2022-10-01 00:00:00,120.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,Energy Drinks,Energy Boost,N/A,9715,6,65,70,7.0,15,25,40,30,N/A,2020-07-01 00:00:00,N/A liters
central rural,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,August 2023,50000 liters
central urban,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,unknown,75,80,6.0,20,30,45,35,28256.67,2021-10-01 00:00:00,80000 liters
central rural,Traditional Trade,Vinalac,NULL,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2021-09-01 00:00:00,50.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2022-11-01 00:00:00,100.0 kiloliters
NORTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,5,90,95,77.03073267791777,30,40,55,45,NULL,March 2020,120000 liters
south rural,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,nan,9165,3,70,75,6.0,20,30,50,40,26731.25,nan,nan
NORTH RURAL,Traditional Trade,Tran Hip Pat,,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,,2023-11-01 00:00:00,100.0 kiloliters
central urban,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,February 2022,80.0 kiloliters
south rural,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,nan,unknown,70,75,6.0,20,30,50,40,NULL,2021-04-01 00:00:00,70000 liters
central rural,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,nan,65,70,7.0,15,25,40,30,20239.58,2024-10-01 00:00:00,50.0 kiloliters
n/a,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2023-09-01 00:00:00,50000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,78.63048736630668,30,40,55,45,43790.0,December 2022,120000 liters
NORTH RURAL,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,8570,7,80,85,5.0,25,35,50,40,35708.33,2024-03-01 00:00:00,100.0 kiloliters
NORTH URBAN,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,120000,8758,unknown,90,95,78.55572979106245,30,40,55,45,43790.0,December 2022,120000 liters
CENTRAL URBAN,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,2022-12-01 00:00:00,80000 liters
north rural,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,2024-10-01 00:00:00,100000 liters
central rural,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2024-12-01 00:00:00,50000 liters
south urban,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,2021-08-01 00:00:00,150.0 kiloliters
SOUTH RURAL,Traditional Trade,URZ,WATER,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,N/A,70000 liters
N/A,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,N/A,5,90,95,4.0,30,40,55,45,44190.0,2025-01-01 00:00:00,120.0 kiloliters
central urban,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,unknown,75,80,6.0,20,30,45,35,28256.67,N/A,80000 liters
south rural,Traditional Trade,URZ,Null,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,2020-08-01 00:00:00,70.0 kiloliters
central urban,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,February 2024,80.0 kiloliters
central urban,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,July 2021,80000 liters
south rural,Traditional Trade,Sentry Pepso,Juices,Tropicola Bliss,,9165,unknown,70,75,6.0,20,30,50,40,26731.25,N/A, liters
SOUTH RURAL,Traditional Trade,URZ,WATER,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,NULL,70.0 kiloliters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,2023-11-01 00:00:00,120000 liters
north urban,Modern Trade,Vinalac,NAN,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,44190.0,2020-07-01 00:00:00,120000 liters
north rural,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,,7,80,85,5.0,25,35,50,40,,April 2021,100000 liters
central urban,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2021-03-01 00:00:00,80.0 kiloliters
NAN,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,120000,8758,unknown,90,95,4.0,30,40,55,45,43790.0,2022-11-01 00:00:00,120.0 kiloliters
NORTH RURAL,Traditional Trade,Vinalac,Null,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,2022-02-01 00:00:00,100000 liters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2024-06-01 00:00:00,80.0 kiloliters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,nan,4,75,80,6.0,20,30,45,35,33073.33,2024-10-01 00:00:00,80.0 kiloliters
,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,85.45246366111898,20,30,50,40,23423.75,2023-11-01 00:00:00,70000 liters
south urban,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,NULL,8,95,98,3.0,35,45,60,50,53150.0,November 2023,150.0 kiloliters
,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,unknown,75,80,6.0,20,30,45,35,28256.67,July 2024,80.0 kiloliters
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,,100.0 kiloliters
south urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,NULL,2024-09-01 00:00:00,150.0 kiloliters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,June 2020,80.0 kiloliters
null,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,8570,7,80,85,5.0,25,35,50,40,35708.33,September 2023,100000 liters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,NULL,100.0 kiloliters
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,April 2023,150.0 kiloliters
central rural,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2023-04-01 00:00:00,50.0 kiloliters
central rural,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,2021-04-01 00:00:00,50.0 kiloliters
central urban,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,NULL,8477,4,75,80,6.0,20,30,45,35,28256.67,2024-01-01 00:00:00,NULL
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2024-01-01 00:00:00,150.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2023-01-01 00:00:00,150.0 kiloliters
NORTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,May 2021,120000 liters
NORTH RURAL,Traditional Trade,Tran Hip Pat,Null,Numba One,100000,9520,N/A,80,85,5.0,25,35,50,40,39666.67,N/A,100000 liters
central urban,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,N/A,8477,4,75,80,6.0,20,30,45,35,28256.67,2020-10-01 00:00:00,N/A
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2024-07-01 00:00:00,50.0 kiloliters
north rural,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,2020-10-01 00:00:00,100.0 kiloliters
n/a,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2020-02-01 00:00:00,100.0 kiloliters
north urban,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,unknown,90,95,4.0,30,40,55,45,,January 2023,120000 liters
NORTH URBAN,Traditional Trade,Small Co E,Yogurt Drinks,Soda Spark,22126,8524,unknown,34,40,20.0,2,5,21,17,4664.57,2020-08-01 00:00:00,22126 liters
NULL,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,July 2022,100.0 kiloliters
north urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,2023-03-01 00:00:00,120.0 kiloliters
central rural,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,nan,6,65,70,7.0,15,25,40,30,18850.0,July 2022,50000 liters
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,nan,2024-07-01 00:00:00,150000 liters
south rural,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,N/A,70,75,6.0,20,30,50,40,23423.75,2020-08-01 00:00:00,70.0 kiloliters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,June 2021,50.0 kiloliters
SOUTH URBAN,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,2020-01-01 00:00:00,150000 liters
SOUTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,N/A,2021-10-01 00:00:00,150000 liters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2021-04-01 00:00:00,120000 liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,8099,unknown,75,80,6.0,20,30,45,35,NULL,2023-12-01 00:00:00,80.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,NULL,2024-11-01 00:00:00,80000 liters
NORTH RURAL,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,8570,7,80,85,5.0,25,35,50,40,35708.33,January 2020,100.0 kiloliters
north urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,5,90,95,59.30119031482796,30,40,55,45,43010.0,2023-07-01 00:00:00,120000 liters
,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,,unknown,80,85,5.0,25,35,50,40,36729.17,,100.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,,95,98,3.0,35,45,60,50,NULL,September 2023,150000 liters
north rural,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,unknown,80,85,5.0,25,35,50,40,36729.17,2024-08-01 00:00:00,100000 liters
north urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,October 2020,120000 liters
north urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,September 2020,120.0 kiloliters
NORTH RURAL,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,December 2023,100.0 kiloliters
SOUTH URBAN,Modern Trade,URZ,Juices,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,2023-07-01 00:00:00,150.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,NULL,THP Fresh,N/A,8438,unknown,75,80,6.0,20,30,45,35,28126.67,2020-05-01 00:00:00,N/A
